Ticker,Name,"OPM
","Mcap
","DivY
","ICB_sector
","ICB_supersector
","P/B
","P/E
"
9424 JT Equity,Japan Communications Inc,-63.97214127,18366074880,,Mobile Telecommunications,Telecommunications,17.31902885,
3667 JT Equity,enish inc,-20.87553596,8632534016,,Toys,Personal & Household Goods,10.0667696,
3909 JT Equity,Showcase TV Inc,10.304739,10271203328,,Software,Technology,8.453830719,
2120 JT Equity,LIFULL Co Ltd,13.67854118,1.05E+11,0.012146893,Real Estate Services,Real Estate,5.277627468,
3672 JT Equity,AltPlus Inc,-12.58528614,11708116992,,Toys,Personal & Household Goods,5.236791134,
7816 JT Equity,Snow Peak Inc,-1.427917004,19852800000,,Recreational Products,Personal & Household Goods,4.769979,
3681 JT Equity,V-Cube Inc,-8.296696663,14990750720,,Software,Technology,4.477424622,
9418 JT Equity,Usen-Next Holdings Co Ltd,5.133388042,53450739712,,Internet,Technology,4.44312048,
1919 JT Equity,Yamada SxL Home Co Ltd,-0.137344003,16117436416,,Home Construction,Personal & Household Goods,4.413865089,
3686 JT Equity,DLE Inc,-20.23107529,8683984896,,Broadcasting & Entertainment,Media,4.339683533,
7554 JT Equity,Kourakuen Holdings Corp,0.389301002,31134105600,0.538793103,Restaurants & Bars,Travel & Leisure,4.217290401,
7918 JT Equity,VIA Holdings Inc,2.524842978,22100127744,,Publishing,Media,4.017254829,
6624 JT Equity,Tabuchi Electric Co Ltd,-12.74277401,11421747200,,Electrical Components & Equipment,Industrial Goods & Services,3.770342112,
6727 JT Equity,Wacom Co Ltd,-1.64230597,91267424256,1.094890511,Computer Hardware,Technology,3.575980663,
7213 JT Equity,LECIP HOLDINGS CORP,2.847666979,10251358208,0.936329588,Electronic Equipment,Industrial Goods & Services,3.35810256,
7522 JT Equity,WATAMI Co Ltd,0.181434005,58736672768,0.354861604,Restaurants & Bars,Travel & Leisure,3.32704401,
2485 JT Equity,Tear Corp,10.48273373,20795781120,0.971817298,Specialized Consumer Services,Retail,3.239740133,
3843 JT Equity,Freebit Co Ltd,3.751394987,28003143680,0.585284281,Internet,Technology,3.029455423,
7448 JT Equity,Jeans Mate Corp,-9.025186539,13090491392,,Apparel Retailers,Retail,3.008835316,
3169 JT Equity,Misawa & Co Ltd,-0.903446019,2978838528,,Home Improvement Retailers,Retail,2.78492403,
8107 JT Equity,Kimuratan Corp,-6.987359047,3852372480,,Clothing & Accessories,Personal & Household Goods,2.692864418,
5721 JT Equity,S Science Co Ltd,-7.042272091,7544530944,,Nonferrous Metals,Basic Resources,2.530321836,
8572 JT Equity,Acom Co Ltd,-30.39993477,7.82E+11,0.544218384,Consumer Finance,Financial Services,2.514242649,
7601 JT Equity,Poplar Co Ltd,-1.171149015,10585463808,,Food Retailers & Wholesalers,Retail,2.403513908,
6619 JT Equity,W-Scope Corp,2.879059076,51039272960,0.152811736,Industrial Suppliers,Industrial Goods & Services,2.224111557,
2266 JT Equity,Rokko Butter Co Ltd,9.86545372,55346483200,,Food Products,Food & Beverage,2.067885876,
7102 JT Equity,Nippon Sharyo Ltd,-5.048816204,46373040128,,Commercial Vehicles & Trucks,Industrial Goods & Services,2.059731007,
9232 JT Equity,Pasco Corp,2.292927027,24297089024,2.73556231,Business Support Services,Industrial Goods & Services,2.003266811,
2687 JT Equity,CVS Bay Area Inc,0.046110999,3823320064,,Food Retailers & Wholesalers,Retail,1.998716116,
9064 JT Equity,Yamato Holdings Co Ltd,2.378221989,1.15E+12,0.968609865,Delivery Services,Industrial Goods & Services,1.990550041,
3627 JT Equity,Neos Corp,-6.537252903,3862984704,,Mobile Telecommunications,Telecommunications,1.852027535,
9726 JT Equity,KNT-CT Holdings Co Ltd,0.749486983,46490054656,,Travel & Tourism,Travel & Leisure,1.706575751,
6366 JT Equity,Chiyoda Corp,2.597122908,2.66E+11,0.587084149,Industrial Machinery,Industrial Goods & Services,1.664779902,
3639 JT Equity,Voltage Inc,1.600226045,4808218624,,Toys,Personal & Household Goods,1.612504959,
1606 JT Equity,Japan Drilling Co Ltd,-71.94979095,37872001024,,Oil Equipment & Services,Oil & Gas,1.612047315,
9979 JT Equity,Daisyo Corp,0.700470984,35911041024,,Restaurants & Bars,Travel & Leisure,1.601123691,
6707 JT Equity,Sanken Electric Co Ltd,3.734915018,91231453184,0.825309491,Semiconductors,Technology,1.499873757,
5202 JT Equity,Nippon Sheet Glass Co Ltd,5.586135864,78522228736,,Building Materials & Fixtures,Construction & Materials,1.425443411,
7640 JT Equity,Top Culture Co Ltd,0.985212028,6382064128,,Specialty Retailers,Retail,1.345463395,
4679 JT Equity,Taya Co Ltd,0.253239989,3462899968,,Specialized Consumer Services,Retail,1.329728127,
6330 JT Equity,Toyo Engineering Corp,-0.465135992,39985172480,,Heavy Construction,Construction & Materials,1.325428843,
6387 JT Equity,Samco Inc,-8.931970596,10262716416,1.567398119,Semiconductors,Technology,1.292047143,
3313 JT Equity,Bookoff Corp,0.143277004,18487451648,,Broadline Retailers,Retail,1.25213623,
9308 JT Equity,Inui Global Logistics Co Ltd,-12.18066978,22448818176,,Business Support Services,Industrial Goods & Services,1.166430473,
4100 JT Equity,Toda Kogyo Corp,-0.541432023,22658498560,1.076716016,Specialty Chemicals,Chemicals,1.160340071,
5541 JT Equity,Pacific Metals Co Ltd,-7.933432102,68911292416,,General Mining,Basic Resources,1.112184763,
9946 JT Equity,Ministop Co Ltd,0.004832,62064672768,2.12967345,Food Retailers & Wholesalers,Retail,1.103944659,
2767 JT Equity,Fields Corp,-7.009442806,41015398400,4.230118443,Gambling,Travel & Leisure,1.080289006,
6203 JT Equity,Howa Machinery Ltd,-2.189188957,15409108992,,Industrial Machinery,Industrial Goods & Services,1.005700231,
2395 JT Equity,Shin Nippon Biomedical Laboratories Ltd,-10.39465618,23105982464,,Health Care Providers,Health Care,0.997009754,
9107 JT Equity,Kawasaki Kisen Kaisha Ltd,-4.468782902,2.32E+11,,Marine Transportation,Industrial Goods & Services,0.990303516,
3159 JT Equity,Maruzen CHI Holdings Co Ltd,1.290166974,32579037184,,Specialty Retailers,Retail,0.958553791,
6771 JT Equity,Ikegami Tsushinki Co Ltd,-14.19162178,12240054272,1.785714286,Telecommunications Equipment,Technology,0.953101635,
9302 JT Equity,Mitsui-Soko Holdings Co Ltd,2.582250118,41927860224,,Transportation Services,Industrial Goods & Services,0.939619303,
6730 JT Equity,Axell Corp,1.759860039,10505295872,,Semiconductors,Technology,0.934206665,
6444 JT Equity,Sanden Holdings Corp,0.560872018,44036046848,,Auto Parts,Automobiles & Parts,0.929820597,
6995 JT Equity,Tokai Rika Co Ltd,6.648659229,2.06E+11,2.950274977,Auto Parts,Automobiles & Parts,0.924250901,
7445 JT Equity,Right On Co Ltd,-3.560003996,29601867776,2.002002002,Apparel Retailers,Retail,0.924102128,
6938 JT Equity,Soshin Electric Co Ltd,-1.785452962,9422399488,,Semiconductors,Technology,0.90592742,
7280 JT Equity,Mitsuba Corp,6.917253017,67962478592,,Auto Parts,Automobiles & Parts,0.903469622,
6417 JT Equity,Sankyo Co Ltd,6.210791111,3.30E+11,4.070556309,Gambling,Travel & Leisure,0.903143883,
6274 JT Equity,Shinkawa Ltd,1.788539052,21270396928,,Semiconductors,Technology,0.884248257,
7004 JT Equity,Hitachi Zosen Corp,3.743010044,94128807936,2.169981917,Industrial Machinery,Industrial Goods & Services,0.881010771,
7230 JT Equity,Nissin Kogyo Co Ltd,7.356986046,1.23E+11,2.398720682,Auto Parts,Automobiles & Parts,0.868000925,
3156 JT Equity,UKC Holdings Corp,-2.412036896,34492944384,,Semiconductors,Technology,0.850403666,
6428 JT Equity,Oizumi Corp,5.632380962,12172499968,,Gambling,Travel & Leisure,0.833791018,
